id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2021-12-05T12:42:23;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2021-12-05T16:39:15;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2021-12-05T01:42:39;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2021-12-04T21:12:16;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2021-12-05T15:50:10;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2021-12-05T00:36:22;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2021-12-05T03:06:30;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2021-12-05T17:09:54;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2021-12-05T08:30:33;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2021-12-04T21:10:43;32637;8639
